Data;hora;preciptacao;temperatura;humidade
25/01/2023;2000 UTC;0;24,4;72
25/01/2023;2100 UTC;0;23,8;79
25/01/2023;2200 UTC;0;23,9;77
25/01/2023;2300 UTC;0;23,1;83
26/01/2023;0000 UTC;0;22,9;83
26/01/2023;0100 UTC;0;22,3;86
26/01/2023;0200 UTC;0;22,4;85
26/01/2023;0300 UTC;0;22,4;86
26/01/2023;0400 UTC;0;22,2;87
26/01/2023;0500 UTC;0,2;22;89
26/01/2023;0600 UTC;0,6;21,7;91
26/01/2023;0700 UTC;0,6;21,6;92
26/01/2023;0800 UTC;0;21,7;92
26/01/2023;0900 UTC;0;21,5;92
26/01/2023;1000 UTC;0;22,2;92
26/01/2023;1100 UTC;0;25,3;78
26/01/2023;1200 UTC;0,2;26,2;72
26/01/2023;1300 UTC;28,8;20,7;92
26/01/2023;1400 UTC;4,4;22,8;92
26/01/2023;1500 UTC;0,4;26,3;77
26/01/2023;1600 UTC;0;27,1;61
26/01/2023;1700 UTC;0;28,9;56
26/01/2023;1800 UTC;0;29,5;54
26/01/2023;1900 UTC;0;27,7;63
26/01/2023;2000 UTC;42;19,9;92
26/01/2023;2100 UTC;13,2;20,7;92
26/01/2023;2200 UTC;0,4;20,2;91
26/01/2023;2300 UTC;0,4;20;92
27/01/2023;0000 UTC;0;20;92
